Player,TeamPos,Pts,Ave
Saquon Barkley,NYGRB,364.6,24.3
Alvin Kamara,NORB,333.6,22.2
Christian McCaffrey,CarRB,339.3,22.6
Ezekiel ElliottQ,DalRB,344.3,23
David Johnson,AriRB,304.6,20.3
DeAndre Hopkins,HouWR,296.4,18.5
Davante Adams,GBWR,283.2,18.9
Le'Veon Bell,NYJRB,283.9,18.9
Julio JonesQ,AtlWR,287.4,18
Odell Beckham Jr.Q,CleWR,271.2,18.1
Tyreek Hill,KCWR,286.5,17.9
Michael Thomas,NOWR,293.9,18.4
Mike EvansQ,TBWR,260.9,16.3
Todd Gurley II,LARRB,288.6,20.6
Travis Kelce,KCTE,280.8,17.5
Joe Mixon,CinRB,267.8,17.9
James Conner,PitRB,263.4,17.6
Nick Chubb,CleRB,246.7,16.4
JuJu Smith-Schuster,PitWR,280,17.5
Antonio Brown,OakWR,270.4,16.9
Amari CooperQ,DalWR,245.3,15.3
Dalvin Cook,MinRB,260.3,17.4
Derrick HenryQ,TenRB,235.4,15.7
Devonta Freeman,AtlRB,242.4,16.2
Josh Jacobs,OakRB,232.5,15.5
Kerryon Johnson,DetRB,238,15.9
Keenan Allen,LACWR,263.8,16.5
Brandin Cooks,LARWR,229.7,14.4
George Kittle,SFTE,233.8,14.6
Zach Ertz,PhiTE,220.2,13.8
Chris Carson,SeaRB,225.4,15
Leonard Fournette,JaxRB,238.1,17
Aaron Jones,GBRB,217,15.5
Sony Michel,NERB,199.2,13.3
Damien Williams,KCRB,221.5,14.8
Julian Edelman,NEWR,258,17.2
Adam ThielenQ,MinWR,239.6,15
Robert Woods,LARWR,213,14.2
Kenny Golladay,DetWR,211.6,13.2
Stefon Diggs,MinWR,224.6,14
T.Y. Hilton,IndWR,210.7,13.2
Cooper KuppQ,LARWR,201.1,13.4
Patrick Mahomes,KCQB,339.9,22.7
David Montgomery,ChiRB,196,13.1
Melvin GordonQ,LACRB,212.2,19.3
Chris Godwin,TBWR,205.2,12.8
Tyler Lockett,SeaWR,209.2,13.1
Mike Williams,LACWR,207.9,13
Alshon Jeffery,PhiWR,204.1,12.8
DJ Moore,CarWR,207.6,13
Allen Robinson,ChiWR,197.3,13.2
Josh Gordon,NEWR,188.3,13.4
Calvin Ridley,AtlWR,200.5,12.5
Tyler Boyd,CinWR,206.5,12.9
Sammy Watkins,KCWR,190.8,12.7
Sterling ShepardQ,NYGWR,204.9,12.8
Mark Ingram II,BalRB,214.8,14.3
Marlon Mack,IndRB,194.1,12.9
Phillip Lindsay,DenRB,174.5,11.6
Derrius Guice,WshRB,182.9,13.1
Duke Johnson Jr.,HouRB,187.7,12.5
James White,NERB,221.6,14.8
Kenyan Drake,MiaRB,213.2,14.2
Tevin Coleman,SFRB,167.7,11.2
O.J. Howard,TBTE,168.3,10.5
Evan Engram,NYGTE,177.2,11.1
Hunter Henry,LACTE,164.1,10.9
Jared Cook,NOTE,168.6,10.5
Miles Sanders,PhiRB,168.5,11.2
Royce Freeman,DenRB,141.3,9.4
Deshaun Watson,HouQB,320.7,21.4
Matt Ryan,AtlQB,306,20.4
Aaron Rodgers,GBQB,299.7,20
Robby AndersonQ,NYJWR,190.8,11.9
A.J. GreenD,CinWR,206.8,14.8
Jarvis Landry,CleWR,189.9,11.9
Will Fuller VQ,HouWR,154.4,10.3
Dede Westbrook,JaxWR,189.7,11.9
Marvin Jones Jr.,DetWR,183.3,11.5
Christian Kirk,AriWR,171.6,10.7
Curtis Samuel,CarWR,165.3,10.3
Rashaad Penny,SeaRB,134.6,9
Latavius MurrayQ,NORB,130.1,8.7
Austin Ekeler,LACRB,167.1,11.1
Tarik Cohen,ChiRB,182.7,12.2
Matt Breida,SFRB,140.5,9.4
Baker Mayfield,CleQB,282.2,18.8
Carson Wentz,PhiQB,295.4,19.7
Cam NewtonQ,CarQB,302.1,20.1
Dak Prescott,DalQB,298,19.9
Emmanuel Sanders,DenWR,180.8,12.9
Corey Davis,TenWR,157.9,9.9
Jamison Crowder,NYJWR,165.6,10.4
Courtland Sutton,DenWR,153.4,9.6
Michael Gallup,DalWR,156,9.8
Larry Fitzgerald,AriWR,180.7,11.3
James Washington,PitWR,131.3,8.2
Dante PettisQ,SFWR,148,9.3
Vance McDonald,PitTE,149.6,10
Peyton Barber,TBRB,149.1,9.9
Jordan Howard,PhiRB,114.8,7.7
LeSean McCoy,BufRB,122.9,8.8
Darwin Thompson,KCRB,71,4.7
Nyheim Hines,IndRB,124,8.3
Darrell Henderson,LARRB,107.8,7.2
Devin Singletary,BufRB,86.8,5.8
Marquez Valdes-Scantling,GBWR,137.7,8.6
Keke CouteeQ,HouWR,152,9.5
DeSean JacksonQ,PhiWR,148,9.9
Donte Moncrief,PitWR,154.1,9.6
David Njoku,CleTE,147.2,9.2
Delanie Walker,TenTE,144.8,9.7
Austin Hooper,AtlTE,153.8,9.6
Drew Brees,NOQB,281,18.7
Ben Roethlisberger,PitQB,285.5,19
Russell Wilson,SeaQB,280,18.7
Kyler Murray,AriQB,284.1,18.9
Jared Goff,LARQB,278.1,18.5
Tom Brady,NEQB,275.9,18.4
Tyrell WilliamsQ,OakWR,152.8,9.5
Anthony MillerQ,ChiWR,136.4,8.5
Geronimo Allison,GBWR,131.1,8.2
DK MetcalfQ,SeaWR,141.1,8.8
Lamar Jackson,BalQB,270.6,19.3
Mitchell Trubisky,ChiQB,279.5,18.6
John Brown,BufWR,135.3,8.5
Kenny StillsQ,MiaWR,155.3,9.7
Adam Humphries,TenWR,139.5,8.7
Golden TateSSPD,NYGWR,131.3,10.9
Albert Wilson,MiaWR,126.9,8.5
Trey BurtonQ,ChiTE,139.8,8.7
Mark Andrews,BalTE,134.7,8.4
Eric Ebron,IndTE,118.9,7.4
Greg Olsen,CarTE,135.2,9
Kalen Ballage,MiaRB,115.1,7.7
Jalen Richard,OakRB,131.6,8.8
Damien Harris,NERB,66.7,4.4
Jaylen Samuels,PitRB,104.8,7
Marquise Brown,BalWR,124.1,8.3
Mohamed Sanu,AtlWR,150.7,9.4
Bears D/ST,ChiD/ST,117.4,7.3
Jaguars D/ST,JaxD/ST,99.4,6.2
Bills D/ST,BufD/ST,100.5,6.3
Rams D/ST,LARD/ST,95,5.9
Vikings D/ST,MinD/ST,97,6.1
Saints D/ST,NOD/ST,101.3,6.3
Chargers D/ST,LACD/ST,93.9,5.9
Patriots D/ST,NED/ST,94.1,5.9
Titans D/ST,TenD/ST,95.7,6
Broncos D/ST,DenD/ST,89.6,5.6
Greg Zuerlein,LARK,161.6,10.1
Justin Tucker,BalK,148.5,9.3
Wil Lutz,NOK,137.4,8.6
Harrison Butker,KCK,137.7,8.6
Stephen Gostkowski,NEK,133.5,8.3
Ka'imi Fairbairn,HouK,134.9,8.4
Robbie Gould,SFK,134,8.4
Mike Badgley,LACK,133,8.3
Brett Maher,DalK,128.9,8.1
Matt Prater,DetK,127.6,8
DaeSean Hamilton,DenWR,137.8,8.6
Devin Funchess,IndWR,128.6,8
DJ CharkQ,JaxWR,125.5,7.8
Jack Doyle,IndTE,120.4,8
Jordan ReedQ,WshTE,139.9,10
Jimmy GrahamQ,GBTE,125.1,7.8
Jameis Winston,TBQB,276.3,19.7
Philip Rivers,LACQB,267.3,17.8
Kirk Cousins,MinQB,263.6,17.6
Dion Lewis,TenRB,127.7,8.5
Tony Pollard,DalRB,35.3,2.4
Giovani Bernard,CinRB,122.1,8.1
Ronald Jones,TBRB,110.8,7.4
Justin Jackson,LACRB,54.5,3.6
Mecole Hardman,KCWR,98.7,6.2
Deebo Samuel,SFWR,105.3,7
Paul Richardson,WshWR,130.4,8.1
Tre'Quan Smith,NOWR,82.6,5.2
Chris Conley,JaxWR,129.2,8.1
A.J. Brown,TenWR,109,6.8
Ted Ginn Jr.,NOWR,128.4,8.6
Derek Carr,OakQB,242.7,16.2
